#sample: Merged
# data
# dataset2.dat
# dataset1.dat
# dataset3.dat
# q  I  sigma
1.072590e-01 4.950731e-01 1.866197e-03
1.080657e-01 4.876896e-01 7.318724e-04
1.099770e-01 4.723578e-01 8.522460e-04
1.119154e-01 4.606825e-01 6.938790e-04
1.129396e-01 4.444044e-01 1.808183e-03
1.140287e-01 4.436214e-01 6.954501e-04
1.159190e-01 4.280609e-01 7.783631e-04
1.170990e-01 4.145746e-01 1.770357e-03
1.181190e-01 4.135856e-01 7.778412e-04
1.200352e-01 3.993052e-01 7.736428e-04
1.219368e-01 3.868779e-01 8.451700e-04
1.232559e-01 3.687799e-01 1.747637e-03
1.241870e-01 3.712880e-01 8.282565e-04
1.260687e-01 3.572631e-01 7.172120e-04
1.279884e-01 3.452835e-01 7.010339e-04
1.299124e-01 3.335258e-01 7.052710e-04
1.310656e-01 3.176441e-01 1.696012e-03
1.321297e-01 3.180390e-01 5.789815e-04
1.340769e-01 3.067244e-01 5.632074e-04
1.360388e-01 2.948123e-01 6.742844e-04
1.380009e-01 2.829451e-01 7.244869e-04
1.399763e-01 2.722532e-01 5.610819e-04
1.418794e-01 2.598797e-01 7.492578e-04
1.438581e-01 2.496515e-01 5.881310e-04
1.450149e-01 2.383554e-01 1.596502e-03
1.461937e-01 2.362686e-01 6.616843e-04
1.481660e-01 2.264194e-01 6.069086e-04
1.500960e-01 2.160952e-01 5.745208e-04
1.520920e-01 2.069451e-01 5.652440e-04
1.541043e-01 1.966428e-01 5.840193e-04
1.561382e-01 1.894186e-01 6.408792e-04
1.580614e-01 1.802846e-01 5.674218e-04
1.600367e-01 1.731391e-01 4.609015e-04
1.620575e-01 1.639471e-01 5.215063e-04
1.640833e-01 1.555686e-01 6.065998e-04
1.660952e-01 1.477281e-01 5.759102e-04
1.681144e-01 1.410566e-01 5.626719e-04
1.702258e-01 1.316568e-01 5.664001e-04
1.731473e-01 1.228332e-01 4.050264e-04
1.758385e-01 1.139094e-01 5.337817e-04
1.778374e-01 1.079395e-01 5.786814e-04
1.799087e-01 1.005040e-01 5.396389e-04
1.819915e-01 9.618119e-02 4.879386e-04
1.840415e-01 9.187266e-02 4.335355e-04
1.861045e-01 8.594010e-02 5.067314e-04
1.890568e-01 7.891416e-02 3.756819e-04
1.918331e-01 7.215059e-02 5.584351e-04
1.939221e-01 6.744334e-02 4.606743e-04
1.960481e-01 6.257236e-02 5.238336e-04
1.981183e-01 6.108562e-02 4.106148e-04
2.009552e-01 5.562255e-02 3.280656e-04
2.039697e-01 5.068399e-02 4.798166e-04
2.060972e-01 4.722792e-02 4.544196e-04
2.090437e-01 4.382665e-02 3.334426e-04
2.119435e-01 3.933699e-02 4.077792e-04
2.140551e-01 3.653719e-02 4.566945e-04
2.169683e-01 3.400076e-02 3.364762e-04
2.199208e-01 3.176685e-02 4.454743e-04
2.221123e-01 2.981744e-02 4.457245e-04
2.251759e-01 2.717794e-02 3.116506e-04
2.280366e-01 2.428213e-02 4.087049e-04
2.310030e-01 2.254364e-02 3.418476e-04
2.339799e-01 2.176009e-02 4.172448e-04
2.370173e-01 2.013686e-02 3.401903e-04
2.399282e-01 1.935436e-02 4.617486e-04
2.430426e-01 1.697580e-02 3.240859e-04
2.460115e-01 1.693512e-02 3.905375e-04
2.491325e-01 1.590979e-02 2.985692e-04
2.520464e-01 1.569078e-02 3.736306e-04
2.548938e-01 1.456062e-02 2.822369e-04
2.589631e-01 1.457050e-02 2.929144e-04
2.620106e-01 1.392303e-02 4.396565e-04
2.649401e-01 1.378138e-02 2.687856e-04
2.689861e-01 1.344640e-02 2.783536e-04
2.720208e-01 1.366906e-02 4.017067e-04
2.750176e-01 1.354532e-02 2.830319e-04
2.790283e-01 1.314963e-02 2.841868e-04
2.831723e-01 1.384314e-02 2.845043e-04
2.860102e-01 1.351798e-02 3.589335e-04
2.890759e-01 1.385404e-02 2.583901e-04
2.931505e-01 1.354908e-02 2.685599e-04
2.968204e-01 1.466302e-02 2.638657e-04
3.010083e-01 1.474014e-02 2.799216e-04
3.050233e-01 1.456327e-02 2.632543e-04
3.089984e-01 1.410242e-02 2.737830e-04
3.129089e-01 1.456167e-02 2.820054e-04
3.170643e-01 1.507641e-02 2.777783e-04
3.210010e-01 1.483429e-02 3.014413e-04
3.250314e-01 1.478050e-02 2.458379e-04
3.289482e-01 1.517546e-02 2.731464e-04
